Action #,Decision (Select / Exclude / Defer / Cite only / Resolved),Decision status,Decision date,Owner,Decision rationale,Follow-up,Evidence checked (Y/N),Source note checked (Y/N),Page boundary checked (Y/N),Access/excisions checked (Y/N),Done when,Suggested decision,Priority,Phase,Item,Item type,Chapter/lane,Date,Title,Release/status,Pages,NAID/targets,Decision question,Next action,Why this matters,Linked sheets,Source note/source cue,Catalog URL,PDF URL,Open link
1,,Open,,,,,,,,,"Gap has a recorded close/defer/search decision, target IDs are checked, and the decision log names the follow-up source pool.",Resolve research task,Critical,Close gap,Compiler gap,Compiler gap,Source Extraction,,Recover page-level boundaries in Haass and meeting-file PDFs,Partly remediated,,470426597; 470426255; 470426381; 428082145; 470426231; 470426238; 470426240,"Have exact item boundaries, title, pages, access posture, and source-note wording been fixed for every selected document?","Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.",Research task: Item-level page ranges and titles still need review for folder-level Haass PDFs; page-count zeros have been removed where online PDFs are available.,compiler-decision-log.csv; compiler-selection-board.md; compiler-gap-packets.md,Item-level page ranges and titles still need review for folder-level Haass PDFs; page-count zeros have been removed where online PDFs are available.,,,
2,,Open,,,,,,,,,"Gap has a recorded close/defer/search decision, target IDs are checked, and the decision log names the follow-up source pool.",Resolve research task,Critical,Close gap,Compiler gap,Compiler gap,India,,Build an India policy lane beyond leader conversations,Open,,645607415; 645608141; 645607135; 645608143; 645607137; 645607805; 645607807; 470437053,"Has the India chapter been consciously tested beyond leader calls: Kashmir/security, nuclear/nonproliferation, defense, economic reform, trade, embassy, Haass, Gates, WHORM, and State files?","Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Research task: Run focused Haass, Gates, WHORM, State, and catalog searches for India policy themes instead of relying on leader calls and Cheney country folders.",compiler-decision-log.csv; compiler-selection-board.md; compiler-gap-packets.md,"Run focused Haass, Gates, WHORM, State, and catalog searches for India policy themes instead of relying on leader calls and Cheney country folders.",,,
3,,Open,,,,,,,,,"Gap has a recorded close/defer/search decision, target IDs are checked, and the decision log names the follow-up source pool.",Resolve research task,Critical,Close gap,Compiler gap,Compiler gap,Pakistan,,Pair the Pakistan nuclear sequence with non-H-Files sources,Open,,470437053; 470426231; 470426238; 470426240; 645608235; 645607905; 645607531; 645607533; 645607907; 323150513; 323152491,"Do Gates, Cheney, Haass, and H-Files companion records support or change the Pakistan nuclear/Pressler/F-16 selection arc?","Prioritize Gates Subject File 470437053 and Pakistan H-Files 470426231, 470426238, and 470426240.","Research task: Integrate Gates, Cheney, and Haass companion files before treating the Pakistan nuclear policy arc as complete.",compiler-decision-log.csv; compiler-selection-board.md; compiler-gap-packets.md,"Integrate Gates, Cheney, and Haass companion files before treating the Pakistan nuclear policy arc as complete.",,,
4,,Open,,,,,,,,,"Gap has a recorded close/defer/search decision, target IDs are checked, and the decision log names the follow-up source pool.",Resolve research task,Critical,Close gap,Compiler gap,Compiler gap,Source Expansion,,Screen Cheney Country Files before closing the source search,Triaged,,645607685; 645607321; 645607323; 645608235; 645607905; 645607531; 645607533; 645607907; 645607415; 645608141; 645607135; 645608143; 645607137; 645607805; 645607807; 645608041,"Can the compiler record Select, Exclude, Defer, Cite only, or Resolved with a stable rationale and source note?","Review Afghanistan files 645607685, 645607321, and 645607323.","Research task: Screen the Cheney PDFs, score policy-bearing pages, and decide which should become confirmed candidate documents or source-note/context material.",compiler-decision-log.csv; compiler-selection-board.md; compiler-gap-packets.md,"Screen the Cheney PDFs, score policy-bearing pages, and decide which should become confirmed candidate documents or source-note/context material.",,,
5,,Open,,,,,,,,,"Gap has a recorded close/defer/search decision, target IDs are checked, and the decision log names the follow-up source pool.",Resolve research task,Critical,Close gap,Compiler gap,Compiler gap,Regional,,"Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks",Triaged,,470426145; 470426225; 428082145; 470426266; 645608041; 286185941; 543965098,"Can each candidate be assigned to India, Pakistan, Bangladesh, or true regional strategy with an explicit selection or exclusion rationale?",Promote Kashmir leads 470426145 and 470426225 into a focused review queue.,Research task: Separate sub-lanes so Kashmir and Bangladesh can be evaluated on their own document merits while lower-confidence public references remain contextual.,compiler-decision-log.csv; compiler-selection-board.md; compiler-gap-packets.md,Separate sub-lanes so Kashmir and Bangladesh can be evaluated on their own document merits while lower-confidence public references remain contextual.,,,
6,,Open,,,,,,,,,"Policy-bearing pages are identified, page range is recorded, and promote/exclude/cite-only rationale is stable.",Screen for promotion,Critical,Fix page boundaries,Potential lead,Potential lead,Regional: Bangladesh,1989-01-20,Bangladesh,High-priority source review lead; Online object available,,645608041,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Partly restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Bangladesh.",https://catalog.archives.gov/id/645608041,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31842-009.pdf,https://catalog.archives.gov/id/645608041
7,,Open,,,,,,,,,"Policy-bearing pages are identified, page range is recorded, and promote/exclude/cite-only rationale is stable.",Screen for promotion,Critical,Fix page boundaries,Potential lead,Potential lead,Regional: Kashmir,1989-01-20,Letters on Kashmir,High-priority source review lead; Online object available,,470426145,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Correspondence Files, Letters on Kashmir.",https://catalog.archives.gov/id/470426145,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/correspondence_2554865/41-bpr-nsc-haass_correspondence-cf01479-008.pdf,https://catalog.archives.gov/id/470426145
8,,Open,,,,,,,,,"Policy-bearing pages are identified, page range is recorded, and promote/exclude/cite-only rationale is stable.",Screen for promotion,Critical,Fix page boundaries,Potential lead,Potential lead,Regional: Kashmir,1990-03-26,"NSC/DC [Deputies Committee] Teleconference - March 26, 1990 Re: Kashmir",High-priority source review lead; Online object available,,470426225,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Teleconference - March 26, 1990 Re: Kashmir.",https://catalog.archives.gov/id/470426225,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-014.pdf,https://catalog.archives.gov/id/470426225
9,,Open,,,,,,,,,"Policy-bearing pages are identified, page range is recorded, and promote/exclude/cite-only rationale is stable.",Screen for promotion,Critical,Fix page boundaries,Potential lead,Potential lead,Regional: Bangladesh,1992-03-19,"President's Meeting with Prime Minister Zia of Bangladesh - March 19, 1992",High-priority source review lead; Online object available,,470426266,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, President's Meeting with Prime Minister Zia of Bangladesh - March 19, 1992.",https://catalog.archives.gov/id/470426266,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01447-024.pdf,https://catalog.archives.gov/id/470426266
10,,Open,,,,,,,,,"Policy-bearing pages are identified, page range is recorded, and promote/exclude/cite-only rationale is stable.",Review before selection,High,Fix page boundaries,4.006,Confirmed record,Regional,1992-03-19,Memorandum of Conversation,Full,6 pages,428082145; [Memorandum of Conversations (Memcons)-January 1992-June 1992]: March 1992,Are the exact source pages and item title stable enough for final citation?,"Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.",Critical boundary #11: Are the exact source pages and item title stable enough for final citation?,compiler-decision-log.csv; compiler-selection-board.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Bush Presidential Records, Scowcroft, Brent, Collection, Presidential Correspondence Files, Presidential Memcons Files, OA/ID 91109-007, Presidential Meetings - Memorandum of Conversations 3/3/92 - 4/28/92. Confidential.",https://catalog.archives.gov/id/428082145,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-03-19--Zia.pdf,https://catalog.archives.gov/id/428082145
