Item type,Item ID,Compiler #,Cockpit priority,Urgency score,Phase,Suggested decision,Chapter or lane,Date,Title,Release or status,Pages,NAID or targets,Decision question,Next action,Pending tasks,Linked sheets,Source note or need,Catalog URL,PDF URL
Compiler gap,gap-haass-page-level-extraction,,Critical,127,Close gap,Resolve research task,Source Extraction,,Recover page-level boundaries in Haass and meeting-file PDFs,Partly remediated,,470426597; 470426255; 470426381; 428082145; 470426231; 470426238; 470426240,"Have exact item boundaries, title, pages, access posture, and source-note wording been fixed for every selected document?","Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.",Research task: Item-level page ranges and titles still need review for folder-level Haass PDFs; page-count zeros have been removed where online PDFs are available.,compiler-decision-log.csv; compiler-selection-board.md; compiler-gap-packets.md,Item-level page ranges and titles still need review for folder-level Haass PDFs; page-count zeros have been removed where online PDFs are available.,,
Confirmed record,470426381-presidential-visit-of-president-of-afghanistan-interim-government-sibgahtullah-mojaddedi-november-27-1989,1.014,Critical,124,Resolve access,Defer or cite only,Afghanistan,1989-11-27,"Presidential Visit of President [of Afghanistan Interim Government Sibgahtullah] Mojaddedi - November 27, 1989",Restricted - Possibly,35 pages,470426381; CF01404-028,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; Critical boundary #3: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Presidential Meeting Files, Presidential Visit of President [of Afghanistan Interim Government Sibgahtullah] Mojaddedi - November 27, 1989, CF01404-028. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426381,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/pres_mtg_2554869/41-bpr-nsc-haass_pres_mtg-cf01404-028.pdf
Confirmed record,470426231-nsc-dc-meeting-july-16-1990-re-pakistan-nuclear-program,2.017,Critical,124,Resolve access,Defer or cite only,Pakistan,1990-07-16,"NSC/DC Meeting - July 16, 1990 Re: Pakistan Nuclear Program",Restricted - Possibly,29 pages,470426231; CF01625-020,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; Critical boundary #4: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, NSC/DC Meeting - July 16, 1990 Re: Pakistan Nuclear Program, CF01625-020. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426231,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-020.pdf
Confirmed record,470426238-nsc-dc-deputies-committee-meeting-october-4-1990-re-pakistan,2.021,Critical,124,Resolve access,Defer or cite only,Pakistan,1990-10-04,"NSC/DC [Deputies Committee] Meeting - October 4, 1990 Re: Pakistan",Restricted - Possibly,8 pages,470426238; CF01625-027,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; Critical boundary #10: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Meeting - October 4, 1990 Re: Pakistan, CF01625-027. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426238,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-027.pdf
Confirmed record,470426240-nsc-dc-meeting-october-9-1990-re-pakistan,2.023,Critical,124,Resolve access,Defer or cite only,Pakistan,1990-10-09,"NSC/DC Meeting - October 9, 1990 Re: Pakistan",Restricted - Possibly,81 pages,470426240; CF01625-029,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; Critical boundary #5: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, NSC/DC Meeting - October 9, 1990 Re: Pakistan, CF01625-029. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426240,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-029.pdf
Compiler gap,gap-india-policy-lane,,Critical,117,Close gap,Resolve research task,India,,Build an India policy lane beyond leader conversations,Open,,645607415; 645608141; 645607135; 645608143; 645607137; 645607805; 645607807; 470437053,"Has the India chapter been consciously tested beyond leader calls: Kashmir/security, nuclear/nonproliferation, defense, economic reform, trade, embassy, Haass, Gates, WHORM, and State files?","Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Research task: Run focused Haass, Gates, WHORM, State, and catalog searches for India policy themes instead of relying on leader calls and Cheney country folders.",compiler-decision-log.csv; compiler-selection-board.md; compiler-gap-packets.md,"Run focused Haass, Gates, WHORM, State, and catalog searches for India policy themes instead of relying on leader calls and Cheney country folders.",,
Compiler gap,gap-pakistan-nuclear-companion-sources,,Critical,117,Close gap,Resolve research task,Pakistan,,Pair the Pakistan nuclear sequence with non-H-Files sources,Open,,470437053; 470426231; 470426238; 470426240; 645608235; 645607905; 645607531; 645607533; 645607907; 323150513; 323152491,"Do Gates, Cheney, Haass, and H-Files companion records support or change the Pakistan nuclear/Pressler/F-16 selection arc?","Prioritize Gates Subject File 470437053 and Pakistan H-Files 470426231, 470426238, and 470426240.","Research task: Integrate Gates, Cheney, and Haass companion files before treating the Pakistan nuclear policy arc as complete.",compiler-decision-log.csv; compiler-selection-board.md; compiler-gap-packets.md,"Integrate Gates, Cheney, and Haass companion files before treating the Pakistan nuclear policy arc as complete.",,
Compiler gap,gap-cheney-country-files,,Critical,117,Close gap,Resolve research task,Source Expansion,,Screen Cheney Country Files before closing the source search,Triaged,,645607685; 645607321; 645607323; 645608235; 645607905; 645607531; 645607533; 645607907; 645607415; 645608141; 645607135; 645608143; 645607137; 645607805; 645607807; 645608041,"Can the compiler record Select, Exclude, Defer, Cite only, or Resolved with a stable rationale and source note?","Review Afghanistan files 645607685, 645607321, and 645607323.","Research task: Screen the Cheney PDFs, score policy-bearing pages, and decide which should become confirmed candidate documents or source-note/context material.",compiler-decision-log.csv; compiler-selection-board.md; compiler-gap-packets.md,"Screen the Cheney PDFs, score policy-bearing pages, and decide which should become confirmed candidate documents or source-note/context material.",,
Compiler gap,gap-regional-kashmir-bangladesh-split,,Critical,117,Close gap,Resolve research task,Regional,,"Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks",Triaged,,470426145; 470426225; 428082145; 470426266; 645608041; 286185941; 543965098,"Can each candidate be assigned to India, Pakistan, Bangladesh, or true regional strategy with an explicit selection or exclusion rationale?",Promote Kashmir leads 470426145 and 470426225 into a focused review queue.,Research task: Separate sub-lanes so Kashmir and Bangladesh can be evaluated on their own document merits while lower-confidence public references remain contextual.,compiler-decision-log.csv; compiler-selection-board.md; compiler-gap-packets.md,Separate sub-lanes so Kashmir and Bangladesh can be evaluated on their own document merits while lower-confidence public references remain contextual.,,
Potential lead,catalog-lead-645608041,,Critical,114,Fix page boundaries,Screen for promotion,Regional: Bangladesh,1989-01-20,Bangladesh,High-priority source review lead; Online object available,,645608041,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Partly restricted lead screening: Screen the online object and promote only after access posture, page boundaries, title, and source note are stable.; Critical boundary #6: Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?; Page-boundary citation verification: Confirm the exact selected page boundary and title before final numbering; do not rely on a folder-level title if only part of the PDF is selected.; Promotion screening: The lead is high-priority and may change chapter balance once page boundaries, title, and source note are stable.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Bangladesh. Access restriction: Restricted - Partly.",https://catalog.archives.gov/id/645608041,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31842-009.pdf
